idx	time_sec	plate_detected_model	plate_text_ocr	plate_confidence_ocr	plate_text_valid_indian_regex	vehicle_type_model	vehicle_color_model	plate_color_model	crop_path
1	0	True	MHI3	0.495	False	sedan	white	White	runs\video_compare_best\01_000s_plate.jpg
2	20	True	CV79537	0.92	False	sedan	white	Red	runs\video_compare_best\02_020s_plate.jpg
3	40	True	J055B3	0.778	False	coupe	white	White	runs\video_compare_best\03_040s_plate.jpg
4	60	True	KLHJ0Y01670	0.719	False	suv	silver	White	runs\video_compare_best\04_060s_plate.jpg
5	80	True	UMP819	0.749	False	coupe	red	Unknown	runs\video_compare_best\05_080s_plate.jpg
6	100	True	NM0D9B200	0.746	False	Unknown	Unknown	Red	runs\video_compare_best\06_100s_plate.jpg
7	120	False		0.0	False	Unknown	Unknown	Unknown	
8	140	True	PKT5110	0.919	False	Unknown	Unknown	White	runs\video_compare_best\08_140s_plate.jpg
9	160	True	TNBC012301	0.718	False	suv	blue	Unknown	runs\video_compare_best\09_160s_plate.jpg
10	180	True	MNADEB30	0.764	False	sedan	red	Red	runs\video_compare_best\10_180s_plate.jpg
11	200	True	KP2A1036	0.746	False	suv	grey	Unknown	runs\video_compare_best\11_200s_plate.jpg
12	220	True	MH82B40	0.721	False	pickup	white	Black	runs\video_compare_best\12_220s_plate.jpg
13	240	True	TNH930	0.585	False	sedan	silver	White	runs\video_compare_best\13_240s_plate.jpg
14	260	True	17K3780	0.922	False	Unknown	Unknown	White	runs\video_compare_best\14_260s_plate.jpg
15	280	True	D154684	0.852	False	suv	silver	White	runs\video_compare_best\15_280s_plate.jpg
16	300	True	QM12BG9500	0.687	True	van	silver	White	runs\video_compare_best\16_300s_plate.jpg
17	320	True	KND0X021201	0.733	False	pickup	yellow	Unknown	runs\video_compare_best\17_320s_plate.jpg
18	340	True	KAF1J6BEZ63	0.636	False	Unknown	Unknown	Black	runs\video_compare_best\18_340s_plate.jpg
19	360	True	MHIAF	0.39	False	van	beige	White	runs\video_compare_best\19_360s_plate.jpg
20	380	True	PM	0.34	False	sedan	black	Unknown	runs\video_compare_best\20_380s_plate.jpg
21	400	True	PC867	0.995	False	coupe	tan	White	runs\video_compare_best\21_400s_plate.jpg
22	420	True	HFDHC353	0.771	False	pickup	beige	White	runs\video_compare_best\22_420s_plate.jpg
23	440	True	KB150533	0.854	False	sedan	black	Black	runs\video_compare_best\23_440s_plate.jpg
24	460	True	TLB0C7363	0.701	False	suv	brown	Unknown	runs\video_compare_best\24_460s_plate.jpg
25	480	True	WLA7277	0.855	False	pickup	green	Unknown	runs\video_compare_best\25_480s_plate.jpg
26	500	True	KCPL1NFA627(4	0.702	False	Unknown	Unknown	White	runs\video_compare_best\26_500s_plate.jpg
27	520	True	1017120	0.82	False	pickup	grey	White	runs\video_compare_best\27_520s_plate.jpg
28	540	True	DMH10D	0.558	False	sedan	tan	White	runs\video_compare_best\28_540s_plate.jpg
29	560	True	LP1V00	0.844	False	Unknown	Unknown	Unknown	runs\video_compare_best\29_560s_plate.jpg
30	580	True	TU7RY1471	0.862	False	suv	silver	Black	runs\video_compare_best\30_580s_plate.jpg
